institution_id,criterion,value,category_type,category,criterion_cat,n_true,p_true,p_rank
34,african_american,0,sub,mentions_black_community,"    ""African-American""    ",9,0.24324324324324326,54
35,african_american,0,sub,mentions_black_community,"    ""African-American""    ",8,0.21621621621621623,55
36,african_american,1,sub,mentions_black_community,"    ""African-American""    ",19,0.5135135135135135,17
37,african_american,0,sub,mentions_black_community,"    ""African-American""    ",16,0.43243243243243246,31
38,african_american,1,sub,mentions_black_community,"    ""African-American""    ",18,0.4864864864864865,22
39,african_american,1,sub,mentions_black_community,"    ""African-American""    ",12,0.32432432432432434,49
40,african_american,0,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,45
41,african_american,1,sub,mentions_black_community,"    ""African-American""    ",17,0.4594594594594595,27
42,african_american,0,sub,mentions_black_community,"    ""African-American""    ",19,0.5135135135135135,18
43,african_american,0,sub,mentions_black_community,"    ""African-American""    ",21,0.5675675675675675,8
44,african_american,1,sub,mentions_black_community,"    ""African-American""    ",19,0.5135135135135135,19
45,african_american,0,sub,mentions_black_community,"    ""African-American""    ",7,0.1891891891891892,56
46,african_american,0,sub,mentions_black_community,"    ""African-American""    ",15,0.40540540540540543,35
47,african_american,0,sub,mentions_black_community,"    ""African-American""    ",14,0.3783783783783784,39
48,african_american,1,sub,mentions_black_community,"    ""African-American""    ",21,0.5675675675675675,9
49,african_american,0,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,46
50,african_american,0,sub,mentions_black_community,"    ""African-American""    ",17,0.4594594594594595,28
51,african_american,1,sub,mentions_black_community,"    ""African-American""    ",18,0.4864864864864865,23
52,african_american,1,sub,mentions_black_community,"    ""African-American""    ",21,0.5675675675675675,10
53,african_american,1,sub,mentions_black_community,"    ""African-American""    ",18,0.4864864864864865,24
54,african_american,0,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,47
55,african_american,0,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,48
56,african_american,1,sub,mentions_black_community,"    ""African-American""    ",14,0.3783783783783784,40
1,mentions_black_community,1,main,mentions_black_community,Reference to Black people,24,0.6486486486486487,3
2,mentions_black_community,1,main,mentions_black_community,Reference to Black people,14,0.3783783783783784,36
3,mentions_black_community,1,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,41
4,mentions_black_community,0,main,mentions_black_community,Reference to Black people,9,0.24324324324324326,53
5,mentions_black_community,0,main,mentions_black_community,Reference to Black people,16,0.43243243243243246,29
6,mentions_black_community,1,main,mentions_black_community,Reference to Black people,23,0.6216216216216216,4
7,mentions_black_community,1,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,42
8,mentions_black_community,1,main,mentions_black_community,Reference to Black people,15,0.40540540540540543,32
9,mentions_black_community,1,main,mentions_black_community,Reference to Black people,19,0.5135135135135135,14
10,mentions_black_community,0,main,mentions_black_community,Reference to Black people,10,0.2702702702702703,51
11,mentions_black_community,0,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,43
12,mentions_black_community,1,main,mentions_black_community,Reference to Black people,20,0.5405405405405406,11
13,mentions_black_community,1,main,mentions_black_community,Reference to Black people,22,0.5945945945945946,5
14,mentions_black_community,1,main,mentions_black_community,Reference to Black people,14,0.3783783783783784,37
15,mentions_black_community,1,main,mentions_black_community,Reference to Black people,19,0.5135135135135135,15
16,mentions_black_community,0,main,mentions_black_community,Reference to Black people,16,0.43243243243243246,30
17,mentions_black_community,1,main,mentions_black_community,Reference to Black people,20,0.5405405405405406,12
18,mentions_black_community,0,main,mentions_black_community,Reference to Black people,18,0.4864864864864865,20
19,mentions_black_community,1,main,mentions_black_community,Reference to Black people,17,0.4594594594594595,25
20,mentions_black_community,1,main,mentions_black_community,Reference to Black people,20,0.5405405405405406,13
21,mentions_black_community,1,main,mentions_black_community,Reference to Black people,14,0.3783783783783784,38
22,mentions_black_community,1,main,mentions_black_community,Reference to Black people,21,0.5675675675675675,6
23,mentions_black_community,1,main,mentions_black_community,Reference to Black people,15,0.40540540540540543,33
24,mentions_black_community,1,main,mentions_black_community,Reference to Black people,19,0.5135135135135135,16
25,mentions_black_community,1,main,mentions_black_community,Reference to Black people,18,0.4864864864864865,21
26,mentions_black_community,1,main,mentions_black_community,Reference to Black people,10,0.2702702702702703,52
27,mentions_black_community,1,main,mentions_black_community,Reference to Black people,26,0.7027027027027027,1
28,mentions_black_community,1,main,mentions_black_community,Reference to Black people,17,0.4594594594594595,26
29,mentions_black_community,0,main,mentions_black_community,Reference to Black people,11,0.2972972972972973,50
30,mentions_black_community,1,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,44
31,mentions_black_community,1,main,mentions_black_community,Reference to Black people,21,0.5675675675675675,7
32,mentions_black_community,1,main,mentions_black_community,Reference to Black people,15,0.40540540540540543,34
33,mentions_black_community,1,main,mentions_black_community,Reference to Black people,25,0.6756756756756757,2
34,mentions_black_community,0,main,mentions_black_community,Reference to Black people,9,0.24324324324324326,54
35,mentions_black_community,1,main,mentions_black_community,Reference to Black people,8,0.21621621621621623,55
36,mentions_black_community,1,main,mentions_black_community,Reference to Black people,19,0.5135135135135135,17
37,mentions_black_community,0,main,mentions_black_community,Reference to Black people,16,0.43243243243243246,31
38,mentions_black_community,1,main,mentions_black_community,Reference to Black people,18,0.4864864864864865,22
39,mentions_black_community,1,main,mentions_black_community,Reference to Black people,12,0.32432432432432434,49
40,mentions_black_community,1,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,45
41,mentions_black_community,1,main,mentions_black_community,Reference to Black people,17,0.4594594594594595,27
42,mentions_black_community,1,main,mentions_black_community,Reference to Black people,19,0.5135135135135135,18
43,mentions_black_community,1,main,mentions_black_community,Reference to Black people,21,0.5675675675675675,8
44,mentions_black_community,1,main,mentions_black_community,Reference to Black people,19,0.5135135135135135,19
45,mentions_black_community,0,main,mentions_black_community,Reference to Black people,7,0.1891891891891892,56
46,mentions_black_community,0,main,mentions_black_community,Reference to Black people,15,0.40540540540540543,35
47,mentions_black_community,0,main,mentions_black_community,Reference to Black people,14,0.3783783783783784,39
48,mentions_black_community,1,main,mentions_black_community,Reference to Black people,21,0.5675675675675675,9
49,mentions_black_community,0,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,46
50,mentions_black_community,1,main,mentions_black_community,Reference to Black people,17,0.4594594594594595,28
51,mentions_black_community,1,main,mentions_black_community,Reference to Black people,18,0.4864864864864865,23
52,mentions_black_community,1,main,mentions_black_community,Reference to Black people,21,0.5675675675675675,10
53,mentions_black_community,1,main,mentions_black_community,Reference to Black people,18,0.4864864864864865,24
54,mentions_black_community,0,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,47
55,mentions_black_community,0,main,mentions_black_community,Reference to Black people,13,0.35135135135135137,48
56,mentions_black_community,1,main,mentions_black_community,Reference to Black people,14,0.3783783783783784,40
1,police,1,sub,role_of_police,"    ""Police""    ",24,0.6486486486486487,3
2,police,0,sub,role_of_police,"    ""Police""    ",14,0.3783783783783784,36
3,police,1,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,41
4,police,1,sub,role_of_police,"    ""Police""    ",9,0.24324324324324326,53
5,police,0,sub,role_of_police,"    ""Police""    ",16,0.43243243243243246,29
6,police,1,sub,role_of_police,"    ""Police""    ",23,0.6216216216216216,4
7,police,0,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,42
8,police,0,sub,role_of_police,"    ""Police""    ",15,0.40540540540540543,32
9,police,1,sub,role_of_police,"    ""Police""    ",19,0.5135135135135135,14
10,police,0,sub,role_of_police,"    ""Police""    ",10,0.2702702702702703,51
11,police,1,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,43
12,police,0,sub,role_of_police,"    ""Police""    ",20,0.5405405405405406,11
13,police,1,sub,role_of_police,"    ""Police""    ",22,0.5945945945945946,5
14,police,0,sub,role_of_police,"    ""Police""    ",14,0.3783783783783784,37
15,police,1,sub,role_of_police,"    ""Police""    ",19,0.5135135135135135,15
16,police,0,sub,role_of_police,"    ""Police""    ",16,0.43243243243243246,30
17,police,1,sub,role_of_police,"    ""Police""    ",20,0.5405405405405406,12
18,police,0,sub,role_of_police,"    ""Police""    ",18,0.4864864864864865,20
19,police,0,sub,role_of_police,"    ""Police""    ",17,0.4594594594594595,25
20,police,1,sub,role_of_police,"    ""Police""    ",20,0.5405405405405406,13
21,police,0,sub,role_of_police,"    ""Police""    ",14,0.3783783783783784,38
22,police,1,sub,role_of_police,"    ""Police""    ",21,0.5675675675675675,6
23,police,1,sub,role_of_police,"    ""Police""    ",15,0.40540540540540543,33
24,police,0,sub,role_of_police,"    ""Police""    ",19,0.5135135135135135,16
25,police,0,sub,role_of_police,"    ""Police""    ",18,0.4864864864864865,21
26,police,0,sub,role_of_police,"    ""Police""    ",10,0.2702702702702703,52
27,police,1,sub,role_of_police,"    ""Police""    ",26,0.7027027027027027,1
28,police,1,sub,role_of_police,"    ""Police""    ",17,0.4594594594594595,26
29,police,0,sub,role_of_police,"    ""Police""    ",11,0.2972972972972973,50
30,police,0,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,44
31,police,0,sub,role_of_police,"    ""Police""    ",21,0.5675675675675675,7
32,police,1,sub,role_of_police,"    ""Police""    ",15,0.40540540540540543,34
33,police,1,sub,role_of_police,"    ""Police""    ",25,0.6756756756756757,2
34,police,1,sub,role_of_police,"    ""Police""    ",9,0.24324324324324326,54
35,police,0,sub,role_of_police,"    ""Police""    ",8,0.21621621621621623,55
36,police,1,sub,role_of_police,"    ""Police""    ",19,0.5135135135135135,17
37,police,0,sub,role_of_police,"    ""Police""    ",16,0.43243243243243246,31
38,police,1,sub,role_of_police,"    ""Police""    ",18,0.4864864864864865,22
39,police,0,sub,role_of_police,"    ""Police""    ",12,0.32432432432432434,49
40,police,0,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,45
41,police,0,sub,role_of_police,"    ""Police""    ",17,0.4594594594594595,27
42,police,0,sub,role_of_police,"    ""Police""    ",19,0.5135135135135135,18
43,police,1,sub,role_of_police,"    ""Police""    ",21,0.5675675675675675,8
44,police,1,sub,role_of_police,"    ""Police""    ",19,0.5135135135135135,19
45,police,0,sub,role_of_police,"    ""Police""    ",7,0.1891891891891892,56
46,police,0,sub,role_of_police,"    ""Police""    ",15,0.40540540540540543,35
47,police,0,sub,role_of_police,"    ""Police""    ",14,0.3783783783783784,39
48,police,1,sub,role_of_police,"    ""Police""    ",21,0.5675675675675675,9
49,police,1,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,46
50,police,0,sub,role_of_police,"    ""Police""    ",17,0.4594594594594595,28
51,police,0,sub,role_of_police,"    ""Police""    ",18,0.4864864864864865,23
52,police,1,sub,role_of_police,"    ""Police""    ",21,0.5675675675675675,10
53,police,1,sub,role_of_police,"    ""Police""    ",18,0.4864864864864865,24
54,police,0,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,47
55,police,1,sub,role_of_police,"    ""Police""    ",13,0.35135135135135137,48
56,police,0,sub,role_of_police,"    ""Police""    ",14,0.3783783783783784,40
1,police_officer,1,sub,role_of_police,"    ""Police officer""    ",24,0.6486486486486487,3
2,police_officer,0,sub,role_of_police,"    ""Police officer""    ",14,0.3783783783783784,36
3,police_officer,1,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,41
4,police_officer,1,sub,role_of_police,"    ""Police officer""    ",9,0.24324324324324326,53
5,police_officer,0,sub,role_of_police,"    ""Police officer""    ",16,0.43243243243243246,29
6,police_officer,1,sub,role_of_police,"    ""Police officer""    ",23,0.6216216216216216,4
7,police_officer,0,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,42
8,police_officer,0,sub,role_of_police,"    ""Police officer""    ",15,0.40540540540540543,32
9,police_officer,0,sub,role_of_police,"    ""Police officer""    ",19,0.5135135135135135,14
10,police_officer,0,sub,role_of_police,"    ""Police officer""    ",10,0.2702702702702703,51
11,police_officer,0,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,43
12,police_officer,0,sub,role_of_police,"    ""Police officer""    ",20,0.5405405405405406,11
13,police_officer,1,sub,role_of_police,"    ""Police officer""    ",22,0.5945945945945946,5
14,police_officer,0,sub,role_of_police,"    ""Police officer""    ",14,0.3783783783783784,37
15,police_officer,0,sub,role_of_police,"    ""Police officer""    ",19,0.5135135135135135,15
16,police_officer,0,sub,role_of_police,"    ""Police officer""    ",16,0.43243243243243246,30
17,police_officer,1,sub,role_of_police,"    ""Police officer""    ",20,0.5405405405405406,12
18,police_officer,0,sub,role_of_police,"    ""Police officer""    ",18,0.4864864864864865,20
19,police_officer,0,sub,role_of_police,"    ""Police officer""    ",17,0.4594594594594595,25
20,police_officer,0,sub,role_of_police,"    ""Police officer""    ",20,0.5405405405405406,13
21,police_officer,0,sub,role_of_police,"    ""Police officer""    ",14,0.3783783783783784,38
22,police_officer,0,sub,role_of_police,"    ""Police officer""    ",21,0.5675675675675675,6
23,police_officer,0,sub,role_of_police,"    ""Police officer""    ",15,0.40540540540540543,33
24,police_officer,0,sub,role_of_police,"    ""Police officer""    ",19,0.5135135135135135,16
25,police_officer,0,sub,role_of_police,"    ""Police officer""    ",18,0.4864864864864865,21
26,police_officer,0,sub,role_of_police,"    ""Police officer""    ",10,0.2702702702702703,52
27,police_officer,1,sub,role_of_police,"    ""Police officer""    ",26,0.7027027027027027,1
28,police_officer,0,sub,role_of_police,"    ""Police officer""    ",17,0.4594594594594595,26
29,police_officer,0,sub,role_of_police,"    ""Police officer""    ",11,0.2972972972972973,50
30,police_officer,0,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,44
31,police_officer,0,sub,role_of_police,"    ""Police officer""    ",21,0.5675675675675675,7
32,police_officer,0,sub,role_of_police,"    ""Police officer""    ",15,0.40540540540540543,34
33,police_officer,0,sub,role_of_police,"    ""Police officer""    ",25,0.6756756756756757,2
34,police_officer,0,sub,role_of_police,"    ""Police officer""    ",9,0.24324324324324326,54
35,police_officer,0,sub,role_of_police,"    ""Police officer""    ",8,0.21621621621621623,55
36,police_officer,0,sub,role_of_police,"    ""Police officer""    ",19,0.5135135135135135,17
37,police_officer,0,sub,role_of_police,"    ""Police officer""    ",16,0.43243243243243246,31
38,police_officer,0,sub,role_of_police,"    ""Police officer""    ",18,0.4864864864864865,22
39,police_officer,0,sub,role_of_police,"    ""Police officer""    ",12,0.32432432432432434,49
40,police_officer,0,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,45
41,police_officer,0,sub,role_of_police,"    ""Police officer""    ",17,0.4594594594594595,27
42,police_officer,0,sub,role_of_police,"    ""Police officer""    ",19,0.5135135135135135,18
43,police_officer,0,sub,role_of_police,"    ""Police officer""    ",21,0.5675675675675675,8
44,police_officer,1,sub,role_of_police,"    ""Police officer""    ",19,0.5135135135135135,19
45,police_officer,0,sub,role_of_police,"    ""Police officer""    ",7,0.1891891891891892,56
46,police_officer,0,sub,role_of_police,"    ""Police officer""    ",15,0.40540540540540543,35
47,police_officer,0,sub,role_of_police,"    ""Police officer""    ",14,0.3783783783783784,39
48,police_officer,0,sub,role_of_police,"    ""Police officer""    ",21,0.5675675675675675,9
49,police_officer,1,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,46
50,police_officer,0,sub,role_of_police,"    ""Police officer""    ",17,0.4594594594594595,28
51,police_officer,0,sub,role_of_police,"    ""Police officer""    ",18,0.4864864864864865,23
52,police_officer,0,sub,role_of_police,"    ""Police officer""    ",21,0.5675675675675675,10
53,police_officer,1,sub,role_of_police,"    ""Police officer""    ",18,0.4864864864864865,24
54,police_officer,0,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,47
55,police_officer,1,sub,role_of_police,"    ""Police officer""    ",13,0.35135135135135137,48
56,police_officer,0,sub,role_of_police,"    ""Police officer""    ",14,0.3783783783783784,40
1,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",24,0.6486486486486487,3
2,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",14,0.3783783783783784,36
3,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,41
4,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",9,0.24324324324324326,53
5,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",16,0.43243243243243246,29
6,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",23,0.6216216216216216,4
7,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,42
8,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",15,0.40540540540540543,32
9,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",19,0.5135135135135135,14
10,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",10,0.2702702702702703,51
11,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,43
12,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",20,0.5405405405405406,11
13,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",22,0.5945945945945946,5
14,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",14,0.3783783783783784,37
15,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",19,0.5135135135135135,15
16,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",16,0.43243243243243246,30
17,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",20,0.5405405405405406,12
18,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",18,0.4864864864864865,20
19,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",17,0.4594594594594595,25
20,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",20,0.5405405405405406,13
21,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",14,0.3783783783783784,38
22,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",21,0.5675675675675675,6
23,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",15,0.40540540540540543,33
24,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",19,0.5135135135135135,16
25,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",18,0.4864864864864865,21
26,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",10,0.2702702702702703,52
27,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",26,0.7027027027027027,1
28,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",17,0.4594594594594595,26
29,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",11,0.2972972972972973,50
30,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,44
31,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",21,0.5675675675675675,7
32,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",15,0.40540540540540543,34
33,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",25,0.6756756756756757,2
34,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",9,0.24324324324324326,54
35,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",8,0.21621621621621623,55
36,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",19,0.5135135135135135,17
37,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",16,0.43243243243243246,31
38,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",18,0.4864864864864865,22
39,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",12,0.32432432432432434,49
40,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,45
41,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",17,0.4594594594594595,27
42,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",19,0.5135135135135135,18
43,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",21,0.5675675675675675,8
44,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",19,0.5135135135135135,19
45,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",7,0.1891891891891892,56
46,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",15,0.40540540540540543,35
47,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",14,0.3783783783783784,39
48,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",21,0.5675675675675675,9
49,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,46
50,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",17,0.4594594594594595,28
51,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",18,0.4864864864864865,23
52,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",21,0.5675675675675675,10
53,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",18,0.4864864864864865,24
54,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,47
55,law_enforcement,1,sub,role_of_police,"    ""Law enforcement""    ",13,0.35135135135135137,48
56,law_enforcement,0,sub,role_of_police,"    ""Law enforcement""    ",14,0.3783783783783784,40
1,role_of_police,1,main,role_of_police,Reference to the police,24,0.6486486486486487,3
2,role_of_police,0,main,role_of_police,Reference to the police,14,0.3783783783783784,36
3,role_of_police,1,main,role_of_police,Reference to the police,13,0.35135135135135137,41
4,role_of_police,1,main,role_of_police,Reference to the police,9,0.24324324324324326,53
5,role_of_police,0,main,role_of_police,Reference to the police,16,0.43243243243243246,29
6,role_of_police,1,main,role_of_police,Reference to the police,23,0.6216216216216216,4
7,role_of_police,0,main,role_of_police,Reference to the police,13,0.35135135135135137,42
8,role_of_police,0,main,role_of_police,Reference to the police,15,0.40540540540540543,32
9,role_of_police,1,main,role_of_police,Reference to the police,19,0.5135135135135135,14
10,role_of_police,0,main,role_of_police,Reference to the police,10,0.2702702702702703,51
11,role_of_police,1,main,role_of_police,Reference to the police,13,0.35135135135135137,43
12,role_of_police,0,main,role_of_police,Reference to the police,20,0.5405405405405406,11
13,role_of_police,1,main,role_of_police,Reference to the police,22,0.5945945945945946,5
14,role_of_police,0,main,role_of_police,Reference to the police,14,0.3783783783783784,37
15,role_of_police,1,main,role_of_police,Reference to the police,19,0.5135135135135135,15
16,role_of_police,0,main,role_of_police,Reference to the police,16,0.43243243243243246,30
17,role_of_police,1,main,role_of_police,Reference to the police,20,0.5405405405405406,12
18,role_of_police,1,main,role_of_police,Reference to the police,18,0.4864864864864865,20
19,role_of_police,0,main,role_of_police,Reference to the police,17,0.4594594594594595,25
20,role_of_police,1,main,role_of_police,Reference to the police,20,0.5405405405405406,13
21,role_of_police,0,main,role_of_police,Reference to the police,14,0.3783783783783784,38
22,role_of_police,1,main,role_of_police,Reference to the police,21,0.5675675675675675,6
23,role_of_police,1,main,role_of_police,Reference to the police,15,0.40540540540540543,33
24,role_of_police,0,main,role_of_police,Reference to the police,19,0.5135135135135135,16
25,role_of_police,0,main,role_of_police,Reference to the police,18,0.4864864864864865,21
26,role_of_police,0,main,role_of_police,Reference to the police,10,0.2702702702702703,52
27,role_of_police,1,main,role_of_police,Reference to the police,26,0.7027027027027027,1
28,role_of_police,1,main,role_of_police,Reference to the police,17,0.4594594594594595,26
29,role_of_police,0,main,role_of_police,Reference to the police,11,0.2972972972972973,50
30,role_of_police,1,main,role_of_police,Reference to the police,13,0.35135135135135137,44
31,role_of_police,0,main,role_of_police,Reference to the police,21,0.5675675675675675,7
32,role_of_police,1,main,role_of_police,Reference to the police,15,0.40540540540540543,34
33,role_of_police,1,main,role_of_police,Reference to the police,25,0.6756756756756757,2
34,role_of_police,1,main,role_of_police,Reference to the police,9,0.24324324324324326,54
35,role_of_police,0,main,role_of_police,Reference to the police,8,0.21621621621621623,55
36,role_of_police,1,main,role_of_police,Reference to the police,19,0.5135135135135135,17
37,role_of_police,0,main,role_of_police,Reference to the police,16,0.43243243243243246,31
38,role_of_police,1,main,role_of_police,Reference to the police,18,0.4864864864864865,22
39,role_of_police,0,main,role_of_police,Reference to the police,12,0.32432432432432434,49
40,role_of_police,0,main,role_of_police,Reference to the police,13,0.35135135135135137,45
41,role_of_police,1,main,role_of_police,Reference to the police,17,0.4594594594594595,27
42,role_of_police,0,main,role_of_police,Reference to the police,19,0.5135135135135135,18
43,role_of_police,1,main,role_of_police,Reference to the police,21,0.5675675675675675,8
44,role_of_police,1,main,role_of_police,Reference to the police,19,0.5135135135135135,19
45,role_of_police,0,main,role_of_police,Reference to the police,7,0.1891891891891892,56
46,role_of_police,0,main,role_of_police,Reference to the police,15,0.40540540540540543,35
47,role_of_police,0,main,role_of_police,Reference to the police,14,0.3783783783783784,39
48,role_of_police,1,main,role_of_police,Reference to the police,21,0.5675675675675675,9
49,role_of_police,1,main,role_of_police,Reference to the police,13,0.35135135135135137,46
50,role_of_police,0,main,role_of_police,Reference to the police,17,0.4594594594594595,28
51,role_of_police,0,main,role_of_police,Reference to the police,18,0.4864864864864865,23
52,role_of_police,1,main,role_of_police,Reference to the police,21,0.5675675675675675,10
53,role_of_police,1,main,role_of_police,Reference to the police,18,0.4864864864864865,24
54,role_of_police,0,main,role_of_police,Reference to the police,13,0.35135135135135137,47
55,role_of_police,1,main,role_of_police,Reference to the police,13,0.35135135135135137,48
56,role_of_police,0,main,role_of_police,Reference to the police,14,0.3783783783783784,40
1,murder,0,sub,describes_the_act,"    ""Murder""    ",24,0.6486486486486487,3
2,murder,0,sub,describes_the_act,"    ""Murder""    ",14,0.3783783783783784,36
3,murder,0,sub,describes_the_act,"    ""Murder""    ",13,0.35135135135135137,41
4,murder,1,sub,describes_the_act,"    ""Murder""    ",9,0.24324324324324326,53
5,murder,0,sub,describes_the_act,"    ""Murder""    ",16,0.43243243243243246,29
6,murder,0,sub,describes_the_act,"    ""Murder""    ",23,0.6216216216216216,4
7,murder,0,sub,describes_the_act,"    ""Murder""    ",13,0.35135135135135137,42
8,murder,0,sub,describes_the_act,"    ""Murder""    ",15,0.40540540540540543,32
9,murder,0,sub,describes_the_act,"    ""Murder""    ",19,0.5135135135135135,14
10,murder,0,sub,describes_the_act,"    ""Murder""    ",10,0.2702702702702703,51
11,murder,1,sub,describes_the_act,"    ""Murder""    ",13,0.35135135135135137,43
12,murder,0,sub,describes_the_act,"    ""Murder""    ",20,0.5405405405405406,11
13,murder,0,sub,describes_the_act,"    ""Murder""    ",22,0.5945945945945946,5
14,murder,0,sub,describes_the_act,"    ""Murder""    ",14,0.3783783783783784,37
15,murder,0,sub,describes_the_act,"    ""Murder""    ",19,0.5135135135135135,15
16,murder,0,sub,describes_the_act,"    ""Murder""    ",16,0.43243243243243246,30
17,murder,0,sub,describes_the_act,"    ""Murder""    ",20,0.5405405405405406,12
18,murder,0,sub,describes_the_act,"    ""Murder""    ",18,0.4864864864864865,20
19,murder,0,sub,describes_the_act,"    ""Murder""    ",17,0.4594594594594595,25
20,murder,0,sub,describes_the_act,"    ""Murder""    ",20,0.5405405405405406,13
21,murder,1,sub,describes_the_act,"    ""Murder""    ",14,0.3783783783783784,38
22,murder,0,sub,describes_the_act,"    ""Murder""    ",21,0.5675675675675675,6
23,murder,0,sub,describes_the_act,"    ""Murder""    ",15,0.40540540540540543,33
24,murder,0,sub,describes_the_act,"    ""Murder""    ",19,0.5135135135135135,16
25,murder,0,sub,describes_the_act,"    ""Murder""    ",18,0.4864864864864865,21
26,murder,0,sub,describes_the_act,"    ""Murder""    ",10,0.2702702702702703,52
27,murder,0,sub,describes_the_act,"    ""Murder""    ",26,0.7027027027027027,1
28,murder,0,sub,describes_the_act,"    ""Murder""    ",17,0.4594594594594595,26
29,murder,0,sub,describes_the_act,"    ""Murder""    ",11,0.2972972972972973,50
30,murder,0,sub,describes_the_act,"    ""Murder""    ",13,0.35135135135135137,44
